model,Final_Accuracy,Inactive_Neurons_Final,Reviving_Neurons_Task4,activation,threshold,strategy,optimizer
silu_0.2_method2_sgd,75.14,0,,silu,0.2,method2,sgd
silu_0.2_method2_sgd,75.14,0,,silu,0.2,method2,sgd
silu_0.3_method2_sgd,75.0,11,7.0,silu,0.3,method2,sgd
silu_0.3_method2_sgd,74.13,16,7.0,silu,0.3,method2,sgd
leaky_relu_0.3_method2_sgd,73.7,15,20.333333333333332,leaky,relu,0.3,method2
leaky_relu_0.2_method2_sgd,71.49,12,1.0,leaky,relu,0.2,method2
leaky_relu_0.3_method2_sgd,71.39,33,12.333333333333334,leaky,relu,0.3,method2
leaky_relu_0.2_method2_sgd,71.34,13,1.0,leaky,relu,0.2,method2
relu_0.3_method2_sgd,69.21,68,9.0,relu,0.3,method2,sgd
relu_0.3_method2_sgd,68.58,24,22.0,relu,0.3,method2,sgd
relu_0.2_method2_sgd,67.95,0,,relu,0.2,method2,sgd
relu_0.2_method2_sgd,67.87,0,,relu,0.2,method2,sgd
silu_0.3_method2_adam,67.13,30,20.333333333333332,silu,0.3,method2,adam
relu_0.2_method2_adam,62.47,85,8.0,relu,0.2,method2,adam
relu_0.2_method2_adam,62.47,85,8.0,relu,0.2,method2,adam
relu_0.3_method2_adam,59.74,106,15.0,relu,0.3,method2,adam
leaky_relu_0.2_method2_adam,58.45,88,15.0,leaky,relu,0.2,method2
leaky_relu_0.2_method2_adam,58.45,88,15.0,leaky,relu,0.2,method2
silu_0.3_method2_adam,57.98,49,24.666666666666668,silu,0.3,method2,adam
silu_0.2_method2_adam,57.47,9,13.333333333333334,silu,0.2,method2,adam
silu_0.2_method2_adam,57.47,9,13.333333333333334,silu,0.2,method2,adam
leaky_relu_0.3_method2_adam,55.21,93,19.0,leaky,relu,0.3,method2
leaky_relu_0.3_method2_adam,55.2,102,17.0,leaky,relu,0.3,method2
relu_0.3_method2_adam,52.39,99,17.0,relu,0.3,method2,adam
