model,1,2,3,4,5,Average
01_baseline_sgd_relu,90.95,77.38,76.27,77.01,72.41,78.8
leaky_relu_0.2_ghada_adam,94.05,75.62,67.38,59.46,58.45,70.99
leaky_relu_0.2_ghada_sgd,90.95,77.38,76.27,77.15,71.49,78.65
leaky_relu_0.2_ours_adam,94.05,75.62,67.38,59.46,58.45,70.99
leaky_relu_0.2_ours_sgd,90.95,77.38,76.27,77.15,71.34,78.62
leaky_relu_0.3_ghada_adam,94.05,75.62,68.53,58.25,55.2,70.33
leaky_relu_0.3_ghada_sgd,90.95,73.07,75.97,73.12,73.7,77.36
leaky_relu_0.3_ours_adam,94.05,75.62,68.88,57.55,55.21,70.26
leaky_relu_0.3_ours_sgd,90.95,75.9,76.45,67.7,71.39,76.48
relu_0.2_ghada_adam,94.65,68.45,64.18,63.0,62.47,70.55
relu_0.2_ghada_sgd,93.5,70.8,75.62,60.89,67.95,73.75
relu_0.2_ours_adam,94.65,68.45,64.18,63.0,62.47,70.55
relu_0.2_ours_sgd,93.5,70.8,75.62,60.89,67.87,73.74
relu_0.3_ghada_adam,94.65,68.43,65.1,59.09,59.74,69.4
relu_0.3_ghada_sgd,93.5,70.8,74.58,62.44,69.21,74.11
relu_0.3_ours_adam,94.65,69.95,64.43,61.18,52.39,68.52
relu_0.3_ours_sgd,93.5,70.8,74.4,59.99,68.58,73.45
silu_0.2_ghada_adam,96.0,79.22,69.03,62.21,57.47,72.79
silu_0.2_ghada_sgd,95.4,74.58,77.85,77.61,75.14,80.12
silu_0.2_ours_adam,96.0,79.22,69.03,62.21,57.47,72.79
silu_0.2_ours_sgd,95.4,74.58,77.85,77.61,75.14,80.12
silu_0.3_ghada_adam,96.0,79.22,60.98,55.55,67.13,71.78
silu_0.3_ghada_sgd,95.4,75.38,78.17,76.8,74.13,79.98
silu_0.3_ours_adam,96.0,79.22,61.32,58.0,57.98,70.5
silu_0.3_ours_sgd,95.4,74.4,78.22,76.82,75.0,79.97
