task,layer,reviving_count,model
3,layer4,6,leaky_relu_0.2_ghada_adam
3,layer4,6,leaky_relu_0.2_ghada_adam
3,layer4,6,leaky_relu_0.2_ghada_adam
4,layer4,15,leaky_relu_0.2_ghada_adam
4,layer4,15,leaky_relu_0.2_ghada_adam
4,layer4,15,leaky_relu_0.2_ghada_adam
2,conv1,2,silu_0.3_ghada_adam
2,conv1,2,silu_0.3_ghada_adam
2,conv1,2,silu_0.3_ghada_adam
4,conv1,2,silu_0.3_ghada_adam
4,conv1,2,silu_0.3_ghada_adam
4,conv1,2,silu_0.3_ghada_adam
3,layer3,1,silu_0.3_ghada_adam
3,layer3,1,silu_0.3_ghada_adam
3,layer3,1,silu_0.3_ghada_adam
2,layer4,27,silu_0.3_ghada_adam
2,layer4,27,silu_0.3_ghada_adam
2,layer4,27,silu_0.3_ghada_adam
3,layer4,58,silu_0.3_ghada_adam
3,layer4,57,silu_0.3_ghada_adam
3,layer4,55,silu_0.3_ghada_adam
4,layer4,21,silu_0.3_ghada_adam
4,layer4,20,silu_0.3_ghada_adam
4,layer4,20,silu_0.3_ghada_adam
1,conv1,1,silu_0.3_ours_sgd
2,conv1,1,silu_0.3_ours_sgd
2,conv1,1,silu_0.3_ours_sgd
2,conv1,1,silu_0.3_ours_sgd
4,conv1,1,silu_0.3_ours_sgd
4,conv1,1,silu_0.3_ours_sgd
4,conv1,1,silu_0.3_ours_sgd
3,layer4,11,silu_0.3_ours_sgd
3,layer4,10,silu_0.3_ours_sgd
3,layer4,10,silu_0.3_ours_sgd
4,layer4,7,silu_0.3_ours_sgd
4,layer4,7,silu_0.3_ours_sgd
4,layer4,7,silu_0.3_ours_sgd
4,conv1,1,relu_0.2_ours_sgd
4,conv1,1,relu_0.2_ours_sgd
4,conv1,1,relu_0.2_ours_sgd
2,layer4,19,relu_0.2_ours_sgd
2,layer4,18,relu_0.2_ours_sgd
2,layer4,18,relu_0.2_ours_sgd
3,layer4,4,relu_0.2_ours_sgd
3,layer4,4,relu_0.2_ours_sgd
3,layer4,4,relu_0.2_ours_sgd
1,conv1,1,silu_0.3_ghada_sgd
1,conv1,1,silu_0.3_ghada_sgd
1,conv1,1,silu_0.3_ghada_sgd
3,layer4,11,silu_0.3_ghada_sgd
3,layer4,10,silu_0.3_ghada_sgd
3,layer4,10,silu_0.3_ghada_sgd
4,layer4,7,silu_0.3_ghada_sgd
4,layer4,7,silu_0.3_ghada_sgd
4,layer4,7,silu_0.3_ghada_sgd
1,conv1,1,leaky_relu_0.3_ghada_sgd
1,conv1,1,leaky_relu_0.3_ghada_sgd
1,conv1,1,leaky_relu_0.3_ghada_sgd
3,conv1,1,leaky_relu_0.3_ghada_sgd
3,conv1,1,leaky_relu_0.3_ghada_sgd
3,conv1,1,leaky_relu_0.3_ghada_sgd
4,conv1,1,leaky_relu_0.3_ghada_sgd
4,conv1,1,leaky_relu_0.3_ghada_sgd
4,conv1,1,leaky_relu_0.3_ghada_sgd
2,layer4,21,leaky_relu_0.3_ghada_sgd
2,layer4,19,leaky_relu_0.3_ghada_sgd
2,layer4,19,leaky_relu_0.3_ghada_sgd
3,layer4,50,leaky_relu_0.3_ghada_sgd
3,layer4,50,leaky_relu_0.3_ghada_sgd
3,layer4,50,leaky_relu_0.3_ghada_sgd
4,layer4,25,leaky_relu_0.3_ghada_sgd
4,layer4,18,leaky_relu_0.3_ghada_sgd
4,layer4,18,leaky_relu_0.3_ghada_sgd
1,conv1,1,relu_0.3_ghada_adam
1,conv1,1,relu_0.3_ghada_adam
1,conv1,1,relu_0.3_ghada_adam
2,conv1,1,relu_0.3_ghada_adam
2,conv1,1,relu_0.3_ghada_adam
2,conv1,1,relu_0.3_ghada_adam
4,conv1,1,relu_0.3_ghada_adam
4,conv1,1,relu_0.3_ghada_adam
4,conv1,1,relu_0.3_ghada_adam
2,layer4,1,relu_0.3_ghada_adam
2,layer4,1,relu_0.3_ghada_adam
2,layer4,1,relu_0.3_ghada_adam
3,layer4,30,relu_0.3_ghada_adam
3,layer4,30,relu_0.3_ghada_adam
3,layer4,30,relu_0.3_ghada_adam
4,layer4,15,relu_0.3_ghada_adam
4,layer4,15,relu_0.3_ghada_adam
4,layer4,15,relu_0.3_ghada_adam
2,conv1,2,relu_0.3_ours_sgd
2,conv1,2,relu_0.3_ours_sgd
2,conv1,2,relu_0.3_ours_sgd
4,conv1,1,relu_0.3_ours_sgd
4,conv1,1,relu_0.3_ours_sgd
4,conv1,1,relu_0.3_ours_sgd
2,layer4,58,relu_0.3_ours_sgd
2,layer4,53,relu_0.3_ours_sgd
2,layer4,51,relu_0.3_ours_sgd
3,layer4,34,relu_0.3_ours_sgd
