model,1,2,3,4,5,Average
01_baseline_sgd_relu,90.95,40.1,29.73,24.05,18.93,40.75
leaky_relu_0.2_ghada_adam,94.05,41.72,30.33,23.95,19.01,41.81
leaky_relu_0.2_ghada_sgd,90.95,40.1,29.73,24.05,18.85,40.74
leaky_relu_0.2_ours_adam,94.05,41.72,30.33,23.95,19.01,41.81
leaky_relu_0.2_ours_sgd,90.95,40.1,29.73,24.05,18.85,40.74
leaky_relu_0.3_ghada_adam,94.05,41.85,25.9,23.64,18.98,40.88
leaky_relu_0.3_ghada_sgd,90.95,39.17,29.82,24.22,18.47,40.53
leaky_relu_0.3_ours_adam,94.05,41.58,30.15,23.82,19.11,41.74
leaky_relu_0.3_ours_sgd,90.95,39.75,29.38,24.11,18.86,40.61
relu_0.2_ghada_adam,94.65,41.22,30.48,22.95,18.56,41.57
relu_0.2_ghada_sgd,93.5,35.15,30.0,23.74,18.33,40.14
relu_0.2_ours_adam,94.65,41.22,30.48,22.95,18.56,41.57
relu_0.2_ours_sgd,93.5,35.15,30.0,23.74,18.76,40.23
relu_0.3_ghada_adam,94.65,41.38,29.25,23.91,18.73,41.58
relu_0.3_ghada_sgd,93.5,37.62,29.88,23.82,18.09,40.58
relu_0.3_ours_adam,94.65,41.52,30.33,22.59,18.69,41.56
relu_0.3_ours_sgd,93.5,37.57,28.93,23.86,18.22,40.42
silu_0.2_ghada_adam,96.0,40.85,30.52,23.96,12.91,40.85
silu_0.2_ghada_sgd,95.4,35.02,30.58,24.29,18.52,40.76
silu_0.2_ours_adam,96.0,40.85,30.52,23.96,12.91,40.85
silu_0.2_ours_sgd,95.4,35.02,30.58,24.29,18.52,40.76
silu_0.3_ghada_adam,96.0,39.83,30.57,23.95,19.03,41.88
silu_0.3_ghada_sgd,95.4,35.02,30.58,24.28,18.23,40.7
silu_0.3_ours_adam,96.0,39.83,30.57,23.82,10.8,40.2
silu_0.3_ours_sgd,95.4,35.02,30.58,24.28,18.53,40.76
