model,1,2,3,4,5,Average
01_baseline_sgd_relu,97.75,41.22,29.77,24.51,19.13,42.48
relu_0.1_ghada_adam,97.7,45.05,31.13,24.3,19.4,43.52
relu_0.1_ghada_sgd,97.75,41.22,29.77,24.51,18.95,42.44
relu_0.1_ours_adam,97.7,45.05,31.13,24.3,19.4,43.52
relu_0.1_ours_sgd,97.75,41.22,29.77,24.51,19.15,42.48
relu_0.2_ghada_adam,97.7,45.05,30.93,20.72,19.1,42.7
relu_0.2_ghada_sgd,97.75,40.3,31.13,24.49,19.39,42.61
relu_0.2_ours_adam,97.7,45.05,30.93,20.72,19.1,42.7
relu_0.2_ours_sgd,97.75,43.28,31.1,24.44,19.23,43.16
relu_0.3_ghada_adam,97.7,44.55,31.3,23.55,19.37,43.29
relu_0.3_ghada_sgd,97.75,40.45,31.33,24.55,19.36,42.69
relu_0.3_ours_adam,97.7,44.9,31.02,24.32,11.09,41.81
relu_0.3_ours_sgd,97.75,42.15,29.68,24.49,19.47,42.71
