model,num_tasks_seen,task,metric_type,accuracy
relu_0.1_ghada_sgd,1,0,Class-IL,97.1
relu_0.1_ghada_sgd,1,0,Task-IL,97.1
relu_0.1_ghada_sgd,1,avg,Class-IL,97.1
relu_0.1_ghada_sgd,1,avg,Task-IL,97.1
relu_0.1_ghada_sgd,2,0,Class-IL,0.0
relu_0.1_ghada_sgd,2,0,Task-IL,70.25
relu_0.1_ghada_sgd,2,1,Class-IL,85.75
relu_0.1_ghada_sgd,2,1,Task-IL,85.75
relu_0.1_ghada_sgd,2,avg,Class-IL,42.88
relu_0.1_ghada_sgd,2,avg,Task-IL,78.0
relu_0.1_ghada_sgd,3,0,Class-IL,0.0
relu_0.1_ghada_sgd,3,0,Task-IL,72.95
relu_0.1_ghada_sgd,3,1,Class-IL,0.0
relu_0.1_ghada_sgd,3,1,Task-IL,68.89999999999999
relu_0.1_ghada_sgd,3,2,Class-IL,93.65
relu_0.1_ghada_sgd,3,2,Task-IL,93.65
relu_0.1_ghada_sgd,3,avg,Class-IL,31.22
relu_0.1_ghada_sgd,3,avg,Task-IL,78.5
relu_0.1_ghada_sgd,4,0,Class-IL,0.0
relu_0.1_ghada_sgd,4,0,Task-IL,43.85
relu_0.1_ghada_sgd,4,1,Class-IL,0.0
relu_0.1_ghada_sgd,4,1,Task-IL,49.5
relu_0.1_ghada_sgd,4,2,Class-IL,0.0
relu_0.1_ghada_sgd,4,2,Task-IL,65.2
relu_0.1_ghada_sgd,4,3,Class-IL,97.85000000000001
relu_0.1_ghada_sgd,4,3,Task-IL,97.85000000000001
relu_0.1_ghada_sgd,4,avg,Class-IL,24.46
relu_0.1_ghada_sgd,4,avg,Task-IL,64.1
relu_0.1_ghada_sgd,5,0,Class-IL,0.0
relu_0.1_ghada_sgd,5,0,Task-IL,54.900000000000006
relu_0.1_ghada_sgd,5,1,Class-IL,0.0
relu_0.1_ghada_sgd,5,1,Task-IL,58.3
relu_0.1_ghada_sgd,5,2,Class-IL,0.0
relu_0.1_ghada_sgd,5,2,Task-IL,61.199999999999996
relu_0.1_ghada_sgd,5,3,Class-IL,0.0
relu_0.1_ghada_sgd,5,3,Task-IL,75.3
relu_0.1_ghada_sgd,5,4,Class-IL,97.1
relu_0.1_ghada_sgd,5,4,Task-IL,97.1
relu_0.1_ghada_sgd,5,avg,Class-IL,19.42
relu_0.1_ghada_sgd,5,avg,Task-IL,69.36
relu_0.3_ours_adam,1,0,Class-IL,98.0
relu_0.3_ours_adam,1,0,Task-IL,98.0
relu_0.3_ours_adam,1,avg,Class-IL,98.0
relu_0.3_ours_adam,1,avg,Task-IL,98.0
relu_0.3_ours_adam,2,0,Class-IL,0.0
relu_0.3_ours_adam,2,0,Task-IL,35.85
relu_0.3_ours_adam,2,1,Class-IL,88.85
relu_0.3_ours_adam,2,1,Task-IL,88.85
relu_0.3_ours_adam,2,avg,Class-IL,44.42
relu_0.3_ours_adam,2,avg,Task-IL,62.35
relu_0.3_ours_adam,3,0,Class-IL,0.0
relu_0.3_ours_adam,3,0,Task-IL,47.15
relu_0.3_ours_adam,3,1,Class-IL,0.0
relu_0.3_ours_adam,3,1,Task-IL,49.95
relu_0.3_ours_adam,3,2,Class-IL,94.39999999999999
relu_0.3_ours_adam,3,2,Task-IL,94.39999999999999
relu_0.3_ours_adam,3,avg,Class-IL,31.47
relu_0.3_ours_adam,3,avg,Task-IL,63.83
relu_0.3_ours_adam,4,0,Class-IL,0.0
relu_0.3_ours_adam,4,0,Task-IL,55.95
relu_0.3_ours_adam,4,1,Class-IL,0.0
relu_0.3_ours_adam,4,1,Task-IL,52.25
relu_0.3_ours_adam,4,2,Class-IL,0.0
relu_0.3_ours_adam,4,2,Task-IL,55.400000000000006
relu_0.3_ours_adam,4,3,Class-IL,95.95
relu_0.3_ours_adam,4,3,Task-IL,95.95
relu_0.3_ours_adam,4,avg,Class-IL,23.99
relu_0.3_ours_adam,4,avg,Task-IL,64.89
relu_0.3_ours_adam,5,0,Class-IL,0.0
relu_0.3_ours_adam,5,0,Task-IL,46.949999999999996
relu_0.3_ours_adam,5,1,Class-IL,0.0
relu_0.3_ours_adam,5,1,Task-IL,47.0
relu_0.3_ours_adam,5,2,Class-IL,0.0
relu_0.3_ours_adam,5,2,Task-IL,48.9
relu_0.3_ours_adam,5,3,Class-IL,0.0
relu_0.3_ours_adam,5,3,Task-IL,55.85
relu_0.3_ours_adam,5,4,Class-IL,97.2
relu_0.3_ours_adam,5,4,Task-IL,97.2
relu_0.3_ours_adam,5,avg,Class-IL,19.44
relu_0.3_ours_adam,5,avg,Task-IL,59.18
relu_0.2_ours_adam,1,0,Class-IL,98.0
relu_0.2_ours_adam,1,0,Task-IL,98.0
relu_0.2_ours_adam,1,avg,Class-IL,98.0
relu_0.2_ours_adam,1,avg,Task-IL,98.0
relu_0.2_ours_adam,2,0,Class-IL,0.0
relu_0.2_ours_adam,2,0,Task-IL,43.8
relu_0.2_ours_adam,2,1,Class-IL,88.94999999999999
relu_0.2_ours_adam,2,1,Task-IL,88.94999999999999
relu_0.2_ours_adam,2,avg,Class-IL,44.47
relu_0.2_ours_adam,2,avg,Task-IL,66.38
relu_0.2_ours_adam,3,0,Class-IL,0.0
relu_0.2_ours_adam,3,0,Task-IL,44.9
relu_0.2_ours_adam,3,1,Class-IL,0.0
relu_0.2_ours_adam,3,1,Task-IL,50.0
relu_0.2_ours_adam,3,2,Class-IL,93.85
relu_0.2_ours_adam,3,2,Task-IL,93.85
relu_0.2_ours_adam,3,avg,Class-IL,31.28
relu_0.2_ours_adam,3,avg,Task-IL,62.92
relu_0.2_ours_adam,4,0,Class-IL,0.0
relu_0.2_ours_adam,4,0,Task-IL,50.4
relu_0.2_ours_adam,4,1,Class-IL,0.0
relu_0.2_ours_adam,4,1,Task-IL,50.74999999999999
relu_0.2_ours_adam,4,2,Class-IL,0.0
relu_0.2_ours_adam,4,2,Task-IL,51.2
relu_0.2_ours_adam,4,3,Class-IL,97.2
relu_0.2_ours_adam,4,3,Task-IL,97.2
relu_0.2_ours_adam,4,avg,Class-IL,24.3
relu_0.2_ours_adam,4,avg,Task-IL,62.39
relu_0.2_ours_adam,5,0,Class-IL,0.0
relu_0.2_ours_adam,5,0,Task-IL,18.15
relu_0.2_ours_adam,5,1,Class-IL,0.0
relu_0.2_ours_adam,5,1,Task-IL,48.75
relu_0.2_ours_adam,5,2,Class-IL,0.0
relu_0.2_ours_adam,5,2,Task-IL,62.050000000000004
relu_0.2_ours_adam,5,3,Class-IL,0.0
relu_0.2_ours_adam,5,3,Task-IL,41.199999999999996
relu_0.2_ours_adam,5,4,Class-IL,97.3
relu_0.2_ours_adam,5,4,Task-IL,97.3
relu_0.2_ours_adam,5,avg,Class-IL,19.46
relu_0.2_ours_adam,5,avg,Task-IL,53.49
relu_0.1_ghada_adam,1,0,Class-IL,98.0
relu_0.1_ghada_adam,1,0,Task-IL,98.0
relu_0.1_ghada_adam,1,avg,Class-IL,98.0
relu_0.1_ghada_adam,1,avg,Task-IL,98.0
relu_0.1_ghada_adam,2,0,Class-IL,0.0
relu_0.1_ghada_adam,2,0,Task-IL,40.35
relu_0.1_ghada_adam,2,1,Class-IL,88.55
relu_0.1_ghada_adam,2,1,Task-IL,88.55
relu_0.1_ghada_adam,2,avg,Class-IL,44.28
relu_0.1_ghada_adam,2,avg,Task-IL,64.45
relu_0.1_ghada_adam,3,0,Class-IL,0.0
relu_0.1_ghada_adam,3,0,Task-IL,35.3
relu_0.1_ghada_adam,3,1,Class-IL,0.0
relu_0.1_ghada_adam,3,1,Task-IL,50.05
relu_0.1_ghada_adam,3,2,Class-IL,94.1
relu_0.1_ghada_adam,3,2,Task-IL,94.1
relu_0.1_ghada_adam,3,avg,Class-IL,31.37
relu_0.1_ghada_adam,3,avg,Task-IL,59.82
relu_0.1_ghada_adam,4,0,Class-IL,0.0
relu_0.1_ghada_adam,4,0,Task-IL,49.85
relu_0.1_ghada_adam,4,1,Class-IL,0.0
relu_0.1_ghada_adam,4,1,Task-IL,50.0
relu_0.1_ghada_adam,4,2,Class-IL,0.0
relu_0.1_ghada_adam,4,2,Task-IL,50.14999999999999
relu_0.1_ghada_adam,4,3,Class-IL,97.05
relu_0.1_ghada_adam,4,3,Task-IL,97.05
relu_0.1_ghada_adam,4,avg,Class-IL,24.26
relu_0.1_ghada_adam,4,avg,Task-IL,61.76
relu_0.1_ghada_adam,5,0,Class-IL,0.0
relu_0.1_ghada_adam,5,0,Task-IL,39.300000000000004
relu_0.1_ghada_adam,5,1,Class-IL,0.0
relu_0.1_ghada_adam,5,1,Task-IL,47.349999999999994
relu_0.1_ghada_adam,5,2,Class-IL,0.0
relu_0.1_ghada_adam,5,2,Task-IL,44.05
relu_0.1_ghada_adam,5,3,Class-IL,0.0
relu_0.1_ghada_adam,5,3,Task-IL,49.8
relu_0.1_ghada_adam,5,4,Class-IL,96.95
relu_0.1_ghada_adam,5,4,Task-IL,96.95
relu_0.1_ghada_adam,5,avg,Class-IL,19.39
relu_0.1_ghada_adam,5,avg,Task-IL,55.49
relu_0.2_ghada_sgd,1,0,Class-IL,97.1
relu_0.2_ghada_sgd,1,0,Task-IL,97.1
relu_0.2_ghada_sgd,1,avg,Class-IL,97.1
relu_0.2_ghada_sgd,1,avg,Task-IL,97.1
relu_0.2_ghada_sgd,2,0,Class-IL,0.0
relu_0.2_ghada_sgd,2,0,Task-IL,70.89999999999999
relu_0.2_ghada_sgd,2,1,Class-IL,86.05000000000001
relu_0.2_ghada_sgd,2,1,Task-IL,86.05000000000001
relu_0.2_ghada_sgd,2,avg,Class-IL,43.03
relu_0.2_ghada_sgd,2,avg,Task-IL,78.47
relu_0.2_ghada_sgd,3,0,Class-IL,0.0
relu_0.2_ghada_sgd,3,0,Task-IL,75.05
relu_0.2_ghada_sgd,3,1,Class-IL,0.0
relu_0.2_ghada_sgd,3,1,Task-IL,70.8
relu_0.2_ghada_sgd,3,2,Class-IL,94.05
relu_0.2_ghada_sgd,3,2,Task-IL,94.05
relu_0.2_ghada_sgd,3,avg,Class-IL,31.35
relu_0.2_ghada_sgd,3,avg,Task-IL,79.97
relu_0.2_ghada_sgd,4,0,Class-IL,0.0
relu_0.2_ghada_sgd,4,0,Task-IL,65.85
relu_0.2_ghada_sgd,4,1,Class-IL,0.0
relu_0.2_ghada_sgd,4,1,Task-IL,63.6
relu_0.2_ghada_sgd,4,2,Class-IL,0.0
relu_0.2_ghada_sgd,4,2,Task-IL,66.45
relu_0.2_ghada_sgd,4,3,Class-IL,97.6
relu_0.2_ghada_sgd,4,3,Task-IL,97.6
relu_0.2_ghada_sgd,4,avg,Class-IL,24.4
relu_0.2_ghada_sgd,4,avg,Task-IL,73.38
relu_0.2_ghada_sgd,5,0,Class-IL,0.0
relu_0.2_ghada_sgd,5,0,Task-IL,79.0
relu_0.2_ghada_sgd,5,1,Class-IL,0.0
relu_0.2_ghada_sgd,5,1,Task-IL,58.650000000000006
relu_0.2_ghada_sgd,5,2,Class-IL,0.0
relu_0.2_ghada_sgd,5,2,Task-IL,56.99999999999999
relu_0.2_ghada_sgd,5,3,Class-IL,0.0
relu_0.2_ghada_sgd,5,3,Task-IL,68.0
relu_0.2_ghada_sgd,5,4,Class-IL,97.25
relu_0.2_ghada_sgd,5,4,Task-IL,97.25
relu_0.2_ghada_sgd,5,avg,Class-IL,19.45
relu_0.2_ghada_sgd,5,avg,Task-IL,71.98
relu_0.3_ghada_sgd,1,0,Class-IL,97.1
relu_0.3_ghada_sgd,1,0,Task-IL,97.1
relu_0.3_ghada_sgd,1,avg,Class-IL,97.1
relu_0.3_ghada_sgd,1,avg,Task-IL,97.1
relu_0.3_ghada_sgd,2,0,Class-IL,0.0
relu_0.3_ghada_sgd,2,0,Task-IL,71.05
relu_0.3_ghada_sgd,2,1,Class-IL,86.3
relu_0.3_ghada_sgd,2,1,Task-IL,86.3
relu_0.3_ghada_sgd,2,avg,Class-IL,43.15
relu_0.3_ghada_sgd,2,avg,Task-IL,78.68
relu_0.3_ghada_sgd,3,0,Class-IL,0.0
relu_0.3_ghada_sgd,3,0,Task-IL,71.15
relu_0.3_ghada_sgd,3,1,Class-IL,0.0
relu_0.3_ghada_sgd,3,1,Task-IL,69.3
relu_0.3_ghada_sgd,3,2,Class-IL,93.8
relu_0.3_ghada_sgd,3,2,Task-IL,93.8
relu_0.3_ghada_sgd,3,avg,Class-IL,31.27
relu_0.3_ghada_sgd,3,avg,Task-IL,78.08
relu_0.3_ghada_sgd,4,0,Class-IL,0.0
relu_0.3_ghada_sgd,4,0,Task-IL,68.45
relu_0.3_ghada_sgd,4,1,Class-IL,0.0
relu_0.3_ghada_sgd,4,1,Task-IL,52.2
relu_0.3_ghada_sgd,4,2,Class-IL,0.0
relu_0.3_ghada_sgd,4,2,Task-IL,58.75
relu_0.3_ghada_sgd,4,3,Class-IL,95.3
relu_0.3_ghada_sgd,4,3,Task-IL,95.3
relu_0.3_ghada_sgd,4,avg,Class-IL,23.82
relu_0.3_ghada_sgd,4,avg,Task-IL,68.68
relu_0.3_ghada_sgd,5,0,Class-IL,0.0
relu_0.3_ghada_sgd,5,0,Task-IL,35.55
relu_0.3_ghada_sgd,5,1,Class-IL,0.0
relu_0.3_ghada_sgd,5,1,Task-IL,46.2
relu_0.3_ghada_sgd,5,2,Class-IL,0.0
relu_0.3_ghada_sgd,5,2,Task-IL,48.05
relu_0.3_ghada_sgd,5,3,Class-IL,0.0
relu_0.3_ghada_sgd,5,3,Task-IL,68.7
relu_0.3_ghada_sgd,5,4,Class-IL,97.25
relu_0.3_ghada_sgd,5,4,Task-IL,97.25
relu_0.3_ghada_sgd,5,avg,Class-IL,19.45
relu_0.3_ghada_sgd,5,avg,Task-IL,59.15
relu_0.2_ghada_adam,1,0,Class-IL,98.0
relu_0.2_ghada_adam,1,0,Task-IL,98.0
relu_0.2_ghada_adam,1,avg,Class-IL,98.0
relu_0.2_ghada_adam,1,avg,Task-IL,98.0
relu_0.2_ghada_adam,2,0,Class-IL,0.0
relu_0.2_ghada_adam,2,0,Task-IL,32.05
relu_0.2_ghada_adam,2,1,Class-IL,88.75
relu_0.2_ghada_adam,2,1,Task-IL,88.75
relu_0.2_ghada_adam,2,avg,Class-IL,44.38
relu_0.2_ghada_adam,2,avg,Task-IL,60.4
relu_0.2_ghada_adam,3,0,Class-IL,0.0
relu_0.2_ghada_adam,3,0,Task-IL,44.05
relu_0.2_ghada_adam,3,1,Class-IL,0.0
relu_0.2_ghada_adam,3,1,Task-IL,49.95
relu_0.2_ghada_adam,3,2,Class-IL,92.30000000000001
relu_0.2_ghada_adam,3,2,Task-IL,92.30000000000001
relu_0.2_ghada_adam,3,avg,Class-IL,30.77
relu_0.2_ghada_adam,3,avg,Task-IL,62.1
relu_0.2_ghada_adam,4,0,Class-IL,0.0
relu_0.2_ghada_adam,4,0,Task-IL,50.3
relu_0.2_ghada_adam,4,1,Class-IL,0.0
relu_0.2_ghada_adam,4,1,Task-IL,53.15
relu_0.2_ghada_adam,4,2,Class-IL,0.0
