model,1,2,3,4,5
relu_0.1_ghada_adam,0.0,1.0,145.0,306.0,430.0
relu_0.1_ghada_sgd,0.0,2.0,49.0,25.0,1.0
relu_0.1_ours_adam,0.0,1.0,145.0,306.0,429.0
relu_0.1_ours_sgd,0.0,2.0,49.0,25.0,1.0
relu_0.2_ghada_adam,0.0,44.0,281.0,420.0,445.0
relu_0.2_ghada_sgd,26.0,368.0,186.0,212.0,262.0
relu_0.2_ours_adam,0.0,44.0,269.0,360.0,455.0
relu_0.2_ours_sgd,26.0,368.0,186.0,206.0,286.0
relu_0.3_ghada_adam,2.0,179.0,358.0,424.0,455.0
relu_0.3_ghada_sgd,384.0,490.0,418.0,384.0,394.0
relu_0.3_ours_adam,2.0,199.0,346.0,424.0,474.0
relu_0.3_ours_sgd,384.0,490.0,375.0,328.0,397.0
