model,num_tasks_seen,task,metric_type,accuracy
relu_0.1_ours_adam,1,0,Class-IL,98.0
relu_0.1_ours_adam,1,0,Task-IL,98.0
relu_0.1_ours_adam,1,avg,Class-IL,98.0
relu_0.1_ours_adam,1,avg,Task-IL,98.0
relu_0.1_ours_adam,2,0,Class-IL,0.0
relu_0.1_ours_adam,2,0,Task-IL,40.35
relu_0.1_ours_adam,2,1,Class-IL,88.55
relu_0.1_ours_adam,2,1,Task-IL,88.55
relu_0.1_ours_adam,2,avg,Class-IL,44.28
relu_0.1_ours_adam,2,avg,Task-IL,64.45
relu_0.1_ours_adam,3,0,Class-IL,0.0
relu_0.1_ours_adam,3,0,Task-IL,47.75
relu_0.1_ours_adam,3,1,Class-IL,0.0
relu_0.1_ours_adam,3,1,Task-IL,65.75
relu_0.1_ours_adam,3,2,Class-IL,79.85
relu_0.1_ours_adam,3,2,Task-IL,79.85
relu_0.1_ours_adam,3,avg,Class-IL,26.62
relu_0.1_ours_adam,3,avg,Task-IL,64.45
relu_0.1_ours_adam,4,0,Class-IL,0.0
relu_0.1_ours_adam,4,0,Task-IL,46.400000000000006
relu_0.1_ours_adam,4,1,Class-IL,0.0
relu_0.1_ours_adam,4,1,Task-IL,55.25
relu_0.1_ours_adam,4,2,Class-IL,0.0
relu_0.1_ours_adam,4,2,Task-IL,65.5
relu_0.1_ours_adam,4,3,Class-IL,76.64999999999999
relu_0.1_ours_adam,4,3,Task-IL,76.64999999999999
relu_0.1_ours_adam,4,avg,Class-IL,19.16
relu_0.1_ours_adam,4,avg,Task-IL,60.95
relu_0.1_ours_adam,5,0,Class-IL,0.0
relu_0.1_ours_adam,5,0,Task-IL,42.65
relu_0.1_ours_adam,5,1,Class-IL,0.0
relu_0.1_ours_adam,5,1,Task-IL,75.9
relu_0.1_ours_adam,5,2,Class-IL,0.0
relu_0.1_ours_adam,5,2,Task-IL,56.45
relu_0.1_ours_adam,5,3,Class-IL,0.0
relu_0.1_ours_adam,5,3,Task-IL,67.5
relu_0.1_ours_adam,5,4,Class-IL,86.7
relu_0.1_ours_adam,5,4,Task-IL,86.7
relu_0.1_ours_adam,5,avg,Class-IL,17.34
