model,1,2,3,4,5
relu_0.1_ghada_adam,0.0,1.0,1.0,1.0,1.0
relu_0.1_ghada_sgd,0.0,2.0,41.0,2.0,10.0
relu_0.1_ours_adam,0.0,1.0,1.0,1.0,1.0
relu_0.1_ours_sgd,0.0,2.0,41.0,2.0,9.0
relu_0.2_ghada_adam,0.0,44.0,19.0,18.0,19.0
relu_0.2_ghada_sgd,26.0,276.0,282.0,119.0,90.0
relu_0.2_ours_adam,0.0,44.0,20.0,24.0,34.0
relu_0.2_ours_sgd,26.0,276.0,282.0,109.0,257.0
relu_0.3_ghada_adam,2.0,0.0,41.0,82.0,17.0
relu_0.3_ghada_sgd,384.0,458.0,415.0,261.0,277.0
relu_0.3_ours_adam,2.0,0.0,42.0,53.0,15.0
relu_0.3_ours_sgd,384.0,458.0,422.0,328.0,315.0
