task,layer,inactive_count,epoch,model
1,conv1,0,0,relu_0.2_method2_sgd
1,layer1,0,0,relu_0.2_method2_sgd
1,layer2,0,0,relu_0.2_method2_sgd
1,layer3,0,0,relu_0.2_method2_sgd
1,layer4,18,0,relu_0.2_method2_sgd
1,conv1,0,1,relu_0.2_method2_sgd
1,layer1,0,1,relu_0.2_method2_sgd
1,layer2,0,1,relu_0.2_method2_sgd
1,layer3,0,1,relu_0.2_method2_sgd
1,layer4,0,1,relu_0.2_method2_sgd
1,conv1,0,2,relu_0.2_method2_sgd
1,layer1,0,2,relu_0.2_method2_sgd
1,layer2,0,2,relu_0.2_method2_sgd
1,layer3,0,2,relu_0.2_method2_sgd
1,layer4,26,2,relu_0.2_method2_sgd
1,conv1,0,3,relu_0.2_method2_sgd
1,layer1,0,3,relu_0.2_method2_sgd
1,layer2,0,3,relu_0.2_method2_sgd
1,layer3,0,3,relu_0.2_method2_sgd
1,layer4,0,3,relu_0.2_method2_sgd
1,conv1,0,4,relu_0.2_method2_sgd
1,layer1,0,4,relu_0.2_method2_sgd
1,layer2,0,4,relu_0.2_method2_sgd
1,layer3,0,4,relu_0.2_method2_sgd
1,layer4,102,4,relu_0.2_method2_sgd
1,conv1,0,5,relu_0.2_method2_sgd
1,layer1,0,5,relu_0.2_method2_sgd
1,layer2,0,5,relu_0.2_method2_sgd
1,layer3,0,5,relu_0.2_method2_sgd
1,layer4,0,5,relu_0.2_method2_sgd
1,conv1,0,6,relu_0.2_method2_sgd
1,layer1,0,6,relu_0.2_method2_sgd
1,layer2,0,6,relu_0.2_method2_sgd
1,layer3,0,6,relu_0.2_method2_sgd
1,layer4,5,6,relu_0.2_method2_sgd
1,conv1,0,7,relu_0.2_method2_sgd
1,layer1,0,7,relu_0.2_method2_sgd
1,layer2,0,7,relu_0.2_method2_sgd
1,layer3,0,7,relu_0.2_method2_sgd
1,layer4,1,7,relu_0.2_method2_sgd
1,conv1,0,8,relu_0.2_method2_sgd
1,layer1,0,8,relu_0.2_method2_sgd
1,layer2,0,8,relu_0.2_method2_sgd
1,layer3,0,8,relu_0.2_method2_sgd
1,layer4,0,8,relu_0.2_method2_sgd
1,conv1,0,9,relu_0.2_method2_sgd
1,layer1,0,9,relu_0.2_method2_sgd
1,layer2,0,9,relu_0.2_method2_sgd
1,layer3,0,9,relu_0.2_method2_sgd
1,layer4,0,9,relu_0.2_method2_sgd
2,conv1,1,0,relu_0.2_method2_sgd
2,layer1,0,0,relu_0.2_method2_sgd
2,layer2,0,0,relu_0.2_method2_sgd
2,layer3,0,0,relu_0.2_method2_sgd
2,layer4,249,0,relu_0.2_method2_sgd
2,conv1,1,1,relu_0.2_method2_sgd
2,layer1,0,1,relu_0.2_method2_sgd
2,layer2,0,1,relu_0.2_method2_sgd
2,layer3,0,1,relu_0.2_method2_sgd
2,layer4,100,1,relu_0.2_method2_sgd
2,conv1,1,2,relu_0.2_method2_sgd
2,layer1,0,2,relu_0.2_method2_sgd
2,layer2,0,2,relu_0.2_method2_sgd
2,layer3,0,2,relu_0.2_method2_sgd
2,layer4,304,2,relu_0.2_method2_sgd
2,conv1,1,3,relu_0.2_method2_sgd
2,layer1,0,3,relu_0.2_method2_sgd
2,layer2,0,3,relu_0.2_method2_sgd
2,layer3,0,3,relu_0.2_method2_sgd
2,layer4,42,3,relu_0.2_method2_sgd
2,conv1,1,4,relu_0.2_method2_sgd
2,layer1,0,4,relu_0.2_method2_sgd
2,layer2,0,4,relu_0.2_method2_sgd
2,layer3,0,4,relu_0.2_method2_sgd
2,layer4,89,4,relu_0.2_method2_sgd
2,conv1,1,5,relu_0.2_method2_sgd
2,layer1,0,5,relu_0.2_method2_sgd
2,layer2,0,5,relu_0.2_method2_sgd
2,layer3,0,5,relu_0.2_method2_sgd
2,layer4,166,5,relu_0.2_method2_sgd
2,conv1,1,6,relu_0.2_method2_sgd
2,layer1,0,6,relu_0.2_method2_sgd
2,layer2,0,6,relu_0.2_method2_sgd
2,layer3,0,6,relu_0.2_method2_sgd
