model,num_tasks_seen,task,metric_type,accuracy
relu_0.2_method1_adam,1,0,Class-IL,98.0
relu_0.2_method1_adam,1,0,Task-IL,98.0
relu_0.2_method1_adam,1,avg,Class-IL,98.0
relu_0.2_method1_adam,1,avg,Task-IL,98.0
relu_0.2_method1_adam,2,0,Class-IL,0.0
relu_0.2_method1_adam,2,0,Task-IL,40.400000000000006
relu_0.2_method1_adam,2,1,Class-IL,88.4
relu_0.2_method1_adam,2,1,Task-IL,88.4
relu_0.2_method1_adam,2,avg,Class-IL,44.2
relu_0.2_method1_adam,2,avg,Task-IL,64.4
relu_0.2_method1_adam,3,0,Class-IL,0.0
relu_0.2_method1_adam,3,0,Task-IL,51.849999999999994
relu_0.2_method1_adam,3,1,Class-IL,0.0
relu_0.2_method1_adam,3,1,Task-IL,57.4
relu_0.2_method1_adam,3,2,Class-IL,80.05
relu_0.2_method1_adam,3,2,Task-IL,80.05
relu_0.2_method1_adam,3,avg,Class-IL,26.68
relu_0.2_method1_adam,3,avg,Task-IL,63.1
relu_0.2_method1_adam,4,0,Class-IL,0.0
relu_0.2_method1_adam,4,0,Task-IL,52.800000000000004
relu_0.2_method1_adam,4,1,Class-IL,0.0
relu_0.2_method1_adam,4,1,Task-IL,74.2
relu_0.2_method1_adam,4,2,Class-IL,0.0
relu_0.2_method1_adam,4,2,Task-IL,52.25
relu_0.2_method1_adam,4,3,Class-IL,77.0
relu_0.2_method1_adam,4,3,Task-IL,77.0
relu_0.2_method1_adam,4,avg,Class-IL,19.25
relu_0.2_method1_adam,4,avg,Task-IL,64.06
relu_0.2_method1_adam,5,0,Class-IL,0.0
relu_0.2_method1_adam,5,0,Task-IL,71.6
relu_0.2_method1_adam,5,1,Class-IL,0.0
relu_0.2_method1_adam,5,1,Task-IL,50.64999999999999
relu_0.2_method1_adam,5,2,Class-IL,0.0
relu_0.2_method1_adam,5,2,Task-IL,36.05
relu_0.2_method1_adam,5,3,Class-IL,0.0
relu_0.2_method1_adam,5,3,Task-IL,62.050000000000004
relu_0.2_method1_adam,5,4,Class-IL,87.4
relu_0.2_method1_adam,5,4,Task-IL,87.4
relu_0.2_method1_adam,5,avg,Class-IL,17.48
relu_0.2_method1_adam,5,avg,Task-IL,61.55
relu_0.1_method1_sgd,1,0,Class-IL,97.1
relu_0.1_method1_sgd,1,0,Task-IL,97.1
relu_0.1_method1_sgd,1,avg,Class-IL,97.1
relu_0.1_method1_sgd,1,avg,Task-IL,97.1
relu_0.1_method1_sgd,2,0,Class-IL,0.0
relu_0.1_method1_sgd,2,0,Task-IL,68.35
relu_0.1_method1_sgd,2,1,Class-IL,85.9
