model,1,2,3,4,5,Average
01_baseline_sgd_relu,97.1,77.12,78.03,64.12,68.66,77.01
relu_0.1_method1_adam,98.0,64.4,64.37,60.46,66.15,70.68
relu_0.1_method1_sgd,97.1,77.12,76.88,66.78,68.47,77.27
relu_0.1_method2_adam,98.0,64.4,64.37,60.46,66.15,70.68
relu_0.1_method2_sgd,97.1,77.12,76.88,66.78,71.4,77.85
relu_0.2_method1_adam,98.0,64.4,63.1,64.06,61.55,70.22
relu_0.2_method1_sgd,97.1,72.65,71.93,61.15,58.13,72.19
relu_0.2_method2_adam,98.0,64.4,62.68,65.61,61.8,70.5
relu_0.2_method2_sgd,97.1,72.65,69.97,59.86,70.78,74.07
relu_0.3_method1_adam,98.0,58.97,61.17,51.68,60.75,66.11
relu_0.3_method1_sgd,97.1,70.05,73.12,62.2,59.75,72.44
relu_0.3_method2_adam,98.0,57.05,65.7,51.36,56.6,65.74
relu_0.3_method2_sgd,97.1,73.1,74.07,57.75,49.73,70.35
