model,1,2,3,4,5
relu_0.1_method1_adam,0.0,1.0,118.0,320.0,382.0
relu_0.1_method1_sgd,0.0,2.0,41.0,2.0,10.0
relu_0.1_method2_adam,0.0,1.0,118.0,323.0,365.0
relu_0.1_method2_sgd,0.0,2.0,41.0,2.0,9.0
relu_0.2_method1_adam,0.0,44.0,238.0,359.0,387.0
relu_0.2_method1_sgd,26.0,276.0,282.0,119.0,90.0
relu_0.2_method2_adam,0.0,44.0,224.0,359.0,375.0
relu_0.2_method2_sgd,26.0,276.0,282.0,109.0,257.0
relu_0.3_method1_adam,2.0,232.0,316.0,359.0,382.0
relu_0.3_method1_sgd,384.0,458.0,415.0,261.0,277.0
relu_0.3_method2_adam,2.0,235.0,308.0,360.0,366.0
relu_0.3_method2_sgd,384.0,458.0,422.0,328.0,315.0
