task,layer,inactive_count,epoch,model
1,conv1,2,0,relu_0.1_method2_sgd
1,layer1,3,0,relu_0.1_method2_sgd
1,layer2,4,0,relu_0.1_method2_sgd
1,layer3,15,0,relu_0.1_method2_sgd
1,layer4,51,0,relu_0.1_method2_sgd
1,conv1,1,1,relu_0.1_method2_sgd
1,layer1,3,1,relu_0.1_method2_sgd
1,layer2,2,1,relu_0.1_method2_sgd
1,layer3,7,1,relu_0.1_method2_sgd
1,layer4,30,1,relu_0.1_method2_sgd
1,conv1,4,2,relu_0.1_method2_sgd
1,layer1,5,2,relu_0.1_method2_sgd
1,layer2,2,2,relu_0.1_method2_sgd
1,layer3,11,2,relu_0.1_method2_sgd
1,layer4,102,2,relu_0.1_method2_sgd
1,conv1,4,3,relu_0.1_method2_sgd
1,layer1,7,3,relu_0.1_method2_sgd
1,layer2,2,3,relu_0.1_method2_sgd
1,layer3,11,3,relu_0.1_method2_sgd
1,layer4,94,3,relu_0.1_method2_sgd
1,conv1,1,4,relu_0.1_method2_sgd
1,layer1,4,4,relu_0.1_method2_sgd
1,layer2,4,4,relu_0.1_method2_sgd
1,layer3,6,4,relu_0.1_method2_sgd
1,layer4,167,4,relu_0.1_method2_sgd
1,conv1,2,5,relu_0.1_method2_sgd
1,layer1,6,5,relu_0.1_method2_sgd
1,layer2,2,5,relu_0.1_method2_sgd
1,layer3,4,5,relu_0.1_method2_sgd
1,layer4,47,5,relu_0.1_method2_sgd
1,conv1,1,6,relu_0.1_method2_sgd
1,layer1,4,6,relu_0.1_method2_sgd
1,layer2,6,6,relu_0.1_method2_sgd
1,layer3,5,6,relu_0.1_method2_sgd
1,layer4,120,6,relu_0.1_method2_sgd
1,conv1,1,7,relu_0.1_method2_sgd
1,layer1,1,7,relu_0.1_method2_sgd
1,layer2,4,7,relu_0.1_method2_sgd
1,layer3,5,7,relu_0.1_method2_sgd
1,layer4,84,7,relu_0.1_method2_sgd
1,conv1,3,8,relu_0.1_method2_sgd
1,layer1,3,8,relu_0.1_method2_sgd
1,layer2,3,8,relu_0.1_method2_sgd
1,layer3,4,8,relu_0.1_method2_sgd
1,layer4,41,8,relu_0.1_method2_sgd
1,conv1,2,9,relu_0.1_method2_sgd
1,layer1,1,9,relu_0.1_method2_sgd
1,layer2,3,9,relu_0.1_method2_sgd
1,layer3,2,9,relu_0.1_method2_sgd
1,layer4,60,9,relu_0.1_method2_sgd
2,conv1,1,0,relu_0.1_method2_sgd
2,layer1,8,0,relu_0.1_method2_sgd
2,layer2,2,0,relu_0.1_method2_sgd
2,layer3,10,0,relu_0.1_method2_sgd
2,layer4,42,0,relu_0.1_method2_sgd
2,conv1,1,1,relu_0.1_method2_sgd
2,layer1,2,1,relu_0.1_method2_sgd
2,layer2,8,1,relu_0.1_method2_sgd
2,layer3,11,1,relu_0.1_method2_sgd
2,layer4,58,1,relu_0.1_method2_sgd
2,conv1,1,2,relu_0.1_method2_sgd
