model,1,2,3,4,5,Average
01_baseline_sgd_relu,97.1,42.95,31.33,24.32,19.09,42.96
relu_0.025_method1_adam,98.0,42.08,30.9,24.35,19.36,42.94
relu_0.025_method1_sgd,97.1,42.92,31.35,24.42,19.36,43.03
relu_0.025_method2_adam,98.0,43.48,29.8,24.12,10.36,41.15
relu_0.025_method2_sgd,97.1,42.92,31.35,24.39,19.37,43.03
relu_0.05_method1_adam,98.0,39.72,31.1,24.22,10.37,40.68
relu_0.05_method1_sgd,97.1,43.12,31.35,24.36,19.25,43.04
relu_0.05_method2_adam,98.0,43.72,30.83,20.64,18.97,42.43
relu_0.05_method2_sgd,97.1,43.12,31.35,24.38,18.37,42.86
relu_0.1_method1_adam,98.0,44.08,29.05,16.55,19.33,41.4
relu_0.1_method1_sgd,97.1,42.78,30.58,24.2,19.26,42.78
relu_0.1_method2_adam,98.0,36.52,30.43,23.46,16.9,41.06
relu_0.1_method2_sgd,97.1,42.78,31.1,24.16,19.36,42.9
