model,num_tasks_seen,task,metric_type,accuracy
relu_0.05_method1_sgd,1,0,Class-IL,92.5
relu_0.05_method1_sgd,1,0,Task-IL,92.5
relu_0.05_method1_sgd,1,avg,Class-IL,92.5
relu_0.05_method1_sgd,1,avg,Task-IL,92.5
relu_0.05_method1_sgd,2,0,Class-IL,0.0
relu_0.05_method1_sgd,2,0,Task-IL,64.60000000000001
relu_0.05_method1_sgd,2,1,Class-IL,81.69999999999999
relu_0.05_method1_sgd,2,1,Task-IL,81.69999999999999
relu_0.05_method1_sgd,2,avg,Class-IL,40.85
relu_0.05_method1_sgd,2,avg,Task-IL,73.15
relu_0.05_method1_sgd,3,0,Class-IL,0.0
relu_0.05_method1_sgd,3,0,Task-IL,65.85
relu_0.05_method1_sgd,3,1,Class-IL,0.0
relu_0.05_method1_sgd,3,1,Task-IL,61.45
relu_0.05_method1_sgd,3,2,Class-IL,79.5
relu_0.05_method1_sgd,3,2,Task-IL,79.5
relu_0.05_method1_sgd,3,avg,Class-IL,26.5
relu_0.05_method1_sgd,3,avg,Task-IL,68.93
relu_0.05_method1_sgd,4,0,Class-IL,0.0
relu_0.05_method1_sgd,4,0,Task-IL,70.8
relu_0.05_method1_sgd,4,1,Class-IL,0.0
relu_0.05_method1_sgd,4,1,Task-IL,53.400000000000006
relu_0.05_method1_sgd,4,2,Class-IL,0.0
relu_0.05_method1_sgd,4,2,Task-IL,69.75
relu_0.05_method1_sgd,4,3,Class-IL,95.75
relu_0.05_method1_sgd,4,3,Task-IL,95.75
relu_0.05_method1_sgd,4,avg,Class-IL,23.94
relu_0.05_method1_sgd,4,avg,Task-IL,72.42
relu_0.05_method1_sgd,5,0,Class-IL,0.0
relu_0.05_method1_sgd,5,0,Task-IL,65.60000000000001
relu_0.05_method1_sgd,5,1,Class-IL,0.0
relu_0.05_method1_sgd,5,1,Task-IL,53.7
relu_0.05_method1_sgd,5,2,Class-IL,0.0
relu_0.05_method1_sgd,5,2,Task-IL,60.4
relu_0.05_method1_sgd,5,3,Class-IL,0.0
relu_0.05_method1_sgd,5,3,Task-IL,79.45
relu_0.05_method1_sgd,5,4,Class-IL,94.45
relu_0.05_method1_sgd,5,4,Task-IL,94.45
relu_0.05_method1_sgd,5,avg,Class-IL,18.89
relu_0.05_method1_sgd,5,avg,Task-IL,70.72
relu_0.1_method2_sgd,1,0,Class-IL,92.5
relu_0.1_method2_sgd,1,0,Task-IL,92.5
relu_0.1_method2_sgd,1,avg,Class-IL,92.5
relu_0.1_method2_sgd,1,avg,Task-IL,92.5
relu_0.1_method2_sgd,2,0,Class-IL,0.0
relu_0.1_method2_sgd,2,0,Task-IL,66.0
relu_0.1_method2_sgd,2,1,Class-IL,79.05
relu_0.1_method2_sgd,2,1,Task-IL,79.05
relu_0.1_method2_sgd,2,avg,Class-IL,39.52
relu_0.1_method2_sgd,2,avg,Task-IL,72.53
relu_0.1_method2_sgd,3,0,Class-IL,0.0
relu_0.1_method2_sgd,3,0,Task-IL,66.60000000000001
relu_0.1_method2_sgd,3,1,Class-IL,0.0
relu_0.1_method2_sgd,3,1,Task-IL,61.95
relu_0.1_method2_sgd,3,2,Class-IL,81.75
relu_0.1_method2_sgd,3,2,Task-IL,81.75
relu_0.1_method2_sgd,3,avg,Class-IL,27.25
relu_0.1_method2_sgd,3,avg,Task-IL,70.1
relu_0.1_method2_sgd,4,0,Class-IL,0.0
relu_0.1_method2_sgd,4,0,Task-IL,68.55
relu_0.1_method2_sgd,4,1,Class-IL,0.0
relu_0.1_method2_sgd,4,1,Task-IL,53.949999999999996
relu_0.1_method2_sgd,4,2,Class-IL,0.0
relu_0.1_method2_sgd,4,2,Task-IL,67.95
relu_0.1_method2_sgd,4,3,Class-IL,95.05
relu_0.1_method2_sgd,4,3,Task-IL,95.05
relu_0.1_method2_sgd,4,avg,Class-IL,23.76
relu_0.1_method2_sgd,4,avg,Task-IL,71.38
relu_0.1_method2_sgd,5,0,Class-IL,0.0
relu_0.1_method2_sgd,5,0,Task-IL,67.80000000000001
relu_0.1_method2_sgd,5,1,Class-IL,0.0
relu_0.1_method2_sgd,5,1,Task-IL,54.50000000000001
relu_0.1_method2_sgd,5,2,Class-IL,0.0
relu_0.1_method2_sgd,5,2,Task-IL,62.8
relu_0.1_method2_sgd,5,3,Class-IL,0.0
relu_0.1_method2_sgd,5,3,Task-IL,81.75
relu_0.1_method2_sgd,5,4,Class-IL,94.45
relu_0.1_method2_sgd,5,4,Task-IL,94.45
relu_0.1_method2_sgd,5,avg,Class-IL,18.89
relu_0.1_method2_sgd,5,avg,Task-IL,72.26
relu_0.025_method2_sgd,1,0,Class-IL,92.5
relu_0.025_method2_sgd,1,0,Task-IL,92.5
relu_0.025_method2_sgd,1,avg,Class-IL,92.5
relu_0.025_method2_sgd,1,avg,Task-IL,92.5
relu_0.025_method2_sgd,2,0,Class-IL,0.0
relu_0.025_method2_sgd,2,0,Task-IL,65.64999999999999
relu_0.025_method2_sgd,2,1,Class-IL,79.65
relu_0.025_method2_sgd,2,1,Task-IL,79.65
relu_0.025_method2_sgd,2,avg,Class-IL,39.83
relu_0.025_method2_sgd,2,avg,Task-IL,72.65
relu_0.025_method2_sgd,3,0,Class-IL,0.0
relu_0.025_method2_sgd,3,0,Task-IL,62.4
relu_0.025_method2_sgd,3,1,Class-IL,0.0
relu_0.025_method2_sgd,3,1,Task-IL,62.8
relu_0.025_method2_sgd,3,2,Class-IL,80.35
relu_0.025_method2_sgd,3,2,Task-IL,80.35
relu_0.025_method2_sgd,3,avg,Class-IL,26.78
relu_0.025_method2_sgd,3,avg,Task-IL,68.52
relu_0.025_method2_sgd,4,0,Class-IL,0.0
relu_0.025_method2_sgd,4,0,Task-IL,73.15
relu_0.025_method2_sgd,4,1,Class-IL,0.0
relu_0.025_method2_sgd,4,1,Task-IL,53.5
relu_0.025_method2_sgd,4,2,Class-IL,0.0
relu_0.025_method2_sgd,4,2,Task-IL,70.19999999999999
relu_0.025_method2_sgd,4,3,Class-IL,95.75
relu_0.025_method2_sgd,4,3,Task-IL,95.75
relu_0.025_method2_sgd,4,avg,Class-IL,23.94
relu_0.025_method2_sgd,4,avg,Task-IL,73.15
relu_0.025_method2_sgd,5,0,Class-IL,0.0
relu_0.025_method2_sgd,5,0,Task-IL,66.9
relu_0.025_method2_sgd,5,1,Class-IL,0.0
relu_0.025_method2_sgd,5,1,Task-IL,54.949999999999996
relu_0.025_method2_sgd,5,2,Class-IL,0.0
relu_0.025_method2_sgd,5,2,Task-IL,56.45
relu_0.025_method2_sgd,5,3,Class-IL,0.0
relu_0.025_method2_sgd,5,3,Task-IL,74.15
relu_0.025_method2_sgd,5,4,Class-IL,94.05
relu_0.025_method2_sgd,5,4,Task-IL,94.05
relu_0.025_method2_sgd,5,avg,Class-IL,18.81
relu_0.025_method2_sgd,5,avg,Task-IL,69.3
relu_0.1_method1_sgd,1,0,Class-IL,92.5
relu_0.1_method1_sgd,1,0,Task-IL,92.5
relu_0.1_method1_sgd,1,avg,Class-IL,92.5
relu_0.1_method1_sgd,1,avg,Task-IL,92.5
relu_0.1_method1_sgd,2,0,Class-IL,0.0
relu_0.1_method1_sgd,2,0,Task-IL,65.85
relu_0.1_method1_sgd,2,1,Class-IL,80.80000000000001
relu_0.1_method1_sgd,2,1,Task-IL,80.80000000000001
relu_0.1_method1_sgd,2,avg,Class-IL,40.4
relu_0.1_method1_sgd,2,avg,Task-IL,73.32
relu_0.1_method1_sgd,3,0,Class-IL,0.0
relu_0.1_method1_sgd,3,0,Task-IL,62.949999999999996
relu_0.1_method1_sgd,3,1,Class-IL,0.0
relu_0.1_method1_sgd,3,1,Task-IL,62.1
relu_0.1_method1_sgd,3,2,Class-IL,78.60000000000001
relu_0.1_method1_sgd,3,2,Task-IL,78.60000000000001
relu_0.1_method1_sgd,3,avg,Class-IL,26.2
relu_0.1_method1_sgd,3,avg,Task-IL,67.88
relu_0.1_method1_sgd,4,0,Class-IL,0.0
relu_0.1_method1_sgd,4,0,Task-IL,69.15
relu_0.1_method1_sgd,4,1,Class-IL,0.0
relu_0.1_method1_sgd,4,1,Task-IL,53.900000000000006
relu_0.1_method1_sgd,4,2,Class-IL,0.0
relu_0.1_method1_sgd,4,2,Task-IL,70.7
relu_0.1_method1_sgd,4,3,Class-IL,95.5
relu_0.1_method1_sgd,4,3,Task-IL,95.5
relu_0.1_method1_sgd,4,avg,Class-IL,23.88
relu_0.1_method1_sgd,4,avg,Task-IL,72.31
relu_0.1_method1_sgd,5,0,Class-IL,0.0
relu_0.1_method1_sgd,5,0,Task-IL,63.65
relu_0.1_method1_sgd,5,1,Class-IL,0.0
relu_0.1_method1_sgd,5,1,Task-IL,52.949999999999996
relu_0.1_method1_sgd,5,2,Class-IL,0.0
relu_0.1_method1_sgd,5,2,Task-IL,57.45
relu_0.1_method1_sgd,5,3,Class-IL,0.0
relu_0.1_method1_sgd,5,3,Task-IL,76.95
relu_0.1_method1_sgd,5,4,Class-IL,94.55
relu_0.1_method1_sgd,5,4,Task-IL,94.55
relu_0.1_method1_sgd,5,avg,Class-IL,18.91
relu_0.1_method1_sgd,5,avg,Task-IL,69.11
relu_0.025_method1_sgd,1,0,Class-IL,92.5
relu_0.025_method1_sgd,1,0,Task-IL,92.5
relu_0.025_method1_sgd,1,avg,Class-IL,92.5
relu_0.025_method1_sgd,1,avg,Task-IL,92.5
relu_0.025_method1_sgd,2,0,Class-IL,0.0
relu_0.025_method1_sgd,2,0,Task-IL,64.9
relu_0.025_method1_sgd,2,1,Class-IL,81.35
relu_0.025_method1_sgd,2,1,Task-IL,81.35
relu_0.025_method1_sgd,2,avg,Class-IL,40.67
relu_0.025_method1_sgd,2,avg,Task-IL,73.12
relu_0.025_method1_sgd,3,0,Class-IL,0.0
relu_0.025_method1_sgd,3,0,Task-IL,65.60000000000001
relu_0.025_method1_sgd,3,1,Class-IL,0.0
relu_0.025_method1_sgd,3,1,Task-IL,59.75
relu_0.025_method1_sgd,3,2,Class-IL,81.3
relu_0.025_method1_sgd,3,2,Task-IL,81.3
relu_0.025_method1_sgd,3,avg,Class-IL,27.1
relu_0.025_method1_sgd,3,avg,Task-IL,68.88
relu_0.025_method1_sgd,4,0,Class-IL,0.0
relu_0.025_method1_sgd,4,0,Task-IL,73.0
relu_0.025_method1_sgd,4,1,Class-IL,0.0
relu_0.025_method1_sgd,4,1,Task-IL,55.900000000000006
relu_0.025_method1_sgd,4,2,Class-IL,0.0
relu_0.025_method1_sgd,4,2,Task-IL,74.25
relu_0.025_method1_sgd,4,3,Class-IL,95.65
relu_0.025_method1_sgd,4,3,Task-IL,95.65
relu_0.025_method1_sgd,4,avg,Class-IL,23.91
relu_0.025_method1_sgd,4,avg,Task-IL,74.7
relu_0.025_method1_sgd,5,0,Class-IL,0.0
relu_0.025_method1_sgd,5,0,Task-IL,66.45
relu_0.025_method1_sgd,5,1,Class-IL,0.0
relu_0.025_method1_sgd,5,1,Task-IL,51.74999999999999
relu_0.025_method1_sgd,5,2,Class-IL,0.0
relu_0.025_method1_sgd,5,2,Task-IL,57.95
relu_0.025_method1_sgd,5,3,Class-IL,0.0
relu_0.025_method1_sgd,5,3,Task-IL,76.7
relu_0.025_method1_sgd,5,4,Class-IL,94.65
relu_0.025_method1_sgd,5,4,Task-IL,94.65
relu_0.025_method1_sgd,5,avg,Class-IL,18.93
relu_0.025_method1_sgd,5,avg,Task-IL,69.5
relu_0.05_method2_sgd,1,0,Class-IL,92.5
relu_0.05_method2_sgd,1,0,Task-IL,92.5
relu_0.05_method2_sgd,1,avg,Class-IL,92.5
relu_0.05_method2_sgd,1,avg,Task-IL,92.5
relu_0.05_method2_sgd,2,0,Class-IL,0.0
relu_0.05_method2_sgd,2,0,Task-IL,67.15
relu_0.05_method2_sgd,2,1,Class-IL,81.3
relu_0.05_method2_sgd,2,1,Task-IL,81.3
relu_0.05_method2_sgd,2,avg,Class-IL,40.65
relu_0.05_method2_sgd,2,avg,Task-IL,74.22
relu_0.05_method2_sgd,3,0,Class-IL,0.0
relu_0.05_method2_sgd,3,0,Task-IL,67.30000000000001
relu_0.05_method2_sgd,3,1,Class-IL,0.0
relu_0.05_method2_sgd,3,1,Task-IL,63.2
relu_0.05_method2_sgd,3,2,Class-IL,81.0
relu_0.05_method2_sgd,3,2,Task-IL,81.0
relu_0.05_method2_sgd,3,avg,Class-IL,27.0
relu_0.05_method2_sgd,3,avg,Task-IL,70.5
relu_0.05_method2_sgd,4,0,Class-IL,0.0
relu_0.05_method2_sgd,4,0,Task-IL,71.45
relu_0.05_method2_sgd,4,1,Class-IL,0.0
relu_0.05_method2_sgd,4,1,Task-IL,54.35
relu_0.05_method2_sgd,4,2,Class-IL,0.0
relu_0.05_method2_sgd,4,2,Task-IL,68.05
relu_0.05_method2_sgd,4,3,Class-IL,95.85000000000001
relu_0.05_method2_sgd,4,3,Task-IL,95.85000000000001
relu_0.05_method2_sgd,4,avg,Class-IL,23.96
relu_0.05_method2_sgd,4,avg,Task-IL,72.43
relu_0.05_method2_sgd,5,0,Class-IL,0.0
relu_0.05_method2_sgd,5,0,Task-IL,62.6
relu_0.05_method2_sgd,5,1,Class-IL,0.0
relu_0.05_method2_sgd,5,1,Task-IL,51.9
relu_0.05_method2_sgd,5,2,Class-IL,0.0
relu_0.05_method2_sgd,5,2,Task-IL,59.9
relu_0.05_method2_sgd,5,3,Class-IL,0.0
relu_0.05_method2_sgd,5,3,Task-IL,73.3
relu_0.05_method2_sgd,5,4,Class-IL,95.1
relu_0.05_method2_sgd,5,4,Task-IL,95.1
relu_0.05_method2_sgd,5,avg,Class-IL,19.02
relu_0.05_method2_sgd,5,avg,Task-IL,68.56
01_baseline_sgd_relu,1,0,Class-IL,97.1
01_baseline_sgd_relu,1,0,Task-IL,97.1
01_baseline_sgd_relu,1,avg,Class-IL,97.1
01_baseline_sgd_relu,1,avg,Task-IL,97.1
01_baseline_sgd_relu,2,0,Class-IL,0.0
01_baseline_sgd_relu,2,0,Task-IL,68.35
01_baseline_sgd_relu,2,1,Class-IL,85.9
01_baseline_sgd_relu,2,1,Task-IL,85.9
01_baseline_sgd_relu,2,avg,Class-IL,42.95
01_baseline_sgd_relu,2,avg,Task-IL,77.12
01_baseline_sgd_relu,3,0,Class-IL,0.0
01_baseline_sgd_relu,3,0,Task-IL,71.39999999999999
01_baseline_sgd_relu,3,1,Class-IL,0.0
01_baseline_sgd_relu,3,1,Task-IL,68.7
01_baseline_sgd_relu,3,2,Class-IL,94.0
01_baseline_sgd_relu,3,2,Task-IL,94.0
01_baseline_sgd_relu,3,avg,Class-IL,31.33
01_baseline_sgd_relu,3,avg,Task-IL,78.03
01_baseline_sgd_relu,4,0,Class-IL,0.0
01_baseline_sgd_relu,4,0,Task-IL,47.349999999999994
01_baseline_sgd_relu,4,1,Class-IL,0.0
01_baseline_sgd_relu,4,1,Task-IL,51.24999999999999
01_baseline_sgd_relu,4,2,Class-IL,0.0
01_baseline_sgd_relu,4,2,Task-IL,60.6
01_baseline_sgd_relu,4,3,Class-IL,97.3
01_baseline_sgd_relu,4,3,Task-IL,97.3
01_baseline_sgd_relu,4,avg,Class-IL,24.32
01_baseline_sgd_relu,4,avg,Task-IL,64.12
01_baseline_sgd_relu,5,0,Class-IL,0.0
01_baseline_sgd_relu,5,0,Task-IL,76.55
01_baseline_sgd_relu,5,1,Class-IL,0.0
01_baseline_sgd_relu,5,1,Task-IL,53.6
01_baseline_sgd_relu,5,2,Class-IL,0.0
01_baseline_sgd_relu,5,2,Task-IL,63.1
01_baseline_sgd_relu,5,3,Class-IL,0.0
01_baseline_sgd_relu,5,3,Task-IL,54.6
01_baseline_sgd_relu,5,4,Class-IL,95.45
01_baseline_sgd_relu,5,4,Task-IL,95.45
01_baseline_sgd_relu,5,avg,Class-IL,19.09
01_baseline_sgd_relu,5,avg,Task-IL,68.66
